id,fact,type,first_name,last_name,upvotes
1,The frequency of a domestic cat's purr is the same at which muscles and bones repair themselves.,cat,Kasimir,Schulz,16
2,By the time a cat is 9 years old. it will only have been awake for three years of its life.,cat,Alex,Wohlbruck,8
3,Cat owners are 17% more likely to have a graduate degree than non cat owners.,cat,Alex,Wohlbruck,7
4,The Egyptian Mau’s name is derived from the Middle Egyptian word mjw. which means cat. But contrary to its name. it’s unclear whether the modern Egyptian Mau actually originated in Egypt.,cat,Alex,Wohlbruck,6
5,Cats aren’t the only animals that purr — squirrels. lemurs. elephants. and even gorillas purr too.,cat,Alex,Wohlbruck,6
6,Cats can distinguish different flavors in water.,cat,Alex,Wohlbruck,6
7,Every year. nearly four million cats are eaten in China as a delicacy.,cat,Alex,Wohlbruck,5
8,Here is a video of some cats in zero gravity. youtu.be/O9XtK6R1QAk,cat,Alex,Wohlbruck,5
9,America’s cats. including housecats that adventure outdoors and feral cats. kill between 1.3 billion and 4.0 billion birds in a year.,cat,Alex,Wohlbruck,4
10,The special sensory organ called the Jacobson's organ allows a cat to have 14 times the sense of smell of a human. It consists of two fluid-filled sacs that connect to the cat's nasal cavity and is located on the roof of their mouth behind their teeth.,cat,Alex,Wohlbruck,4
11,Wikipedia has a recording of a cat meowing. because why not?,cat,Kasimir,Schulz,4
12,Scottish sailer Alexander Selkirk once survived for 4 years on a deserted island thanks to feral cats that protected him from large rats during the night.,cat,Alex,Wohlbruck,4
13,There are cats who have survived falls from over 32 stories (320 meters) onto concrete.,cat,Kasimir,Schulz,4
14,Most cats don't like water because their coats do not insulate them well enough.,cat,Alex,Wohlbruck,4
15,A cat’s nose pad is ridged with a unique pattern. just like the fingerprint of a human.,cat,Alex,Wohlbruck,4
16,"The technical term for ""hairball"" is ""bezoar.""",cat,Kasimir,Schulz,4
17,Cats make more than 100 different sounds whereas dogs make around 10.,cat,Kasimir,Schulz,4
18,A cat's brain is 90% similar to a human's — more similar than to a dog's.,cat,Kasimir,Schulz,4
19,Cats can survive falls from up to 65 feet or more.,cat,Alex,Wohlbruck,4
20,In 1879. Belgium unsuccessfully tried to use cats to deliver mail.,cat,Alex,Wohlbruck,4
21,Kangaroos can't hop backwards,cat,Hampton,McGrath,3
22,"The myth that a cat has nine lives comes from their ability to jump and land from high places. The number 9 is believed by some to originate from William Shakespeare's Romeo and Juliet: ""A cat has nine lives. For three he plays. for three he strays. and for the last three he stays.""",cat,Alex,Wohlbruck,3
23,Exposure to UV light with hairless or partially-hairless cats can result in sunburn. even during cloudy or shady conditions. If your cat risks overexposure. consider applying sunscreen daily.,cat,Alex,Wohlbruck,3
24,Evidence suggests domesticated cats have been around since 3600 B.C.. 2.000 years before Egypt's pharaohs.,cat,Alex,Wohlbruck,2
25,I don't know anything about cats.,cat,Jackson,Sippe,2
26,Since cats treat us like cats and depend on us for things like food. water. and opening the door to let them out. they do recognize. that we are in some way in charge — the “big cat” in the shared territory. As territorial animals. our cats are constantly wondering why we’re not doing other cat things that the big cat would normally do in their territory. In fact. the “let me in. let me out. let me in” phenomenon is a good example. The bigger cat ostensibly rules the territory and therefore should be the one patrolling and marking it with pee so other cats stay away. But since humans don’t do this. indoor-outdoor cats reluctantly take on the role themselves. The apparent neuroticism of cats wanting to go outside every five minutes only to be let right back in is funny to us because it seems so silly and unnecessary. But to the cats. it’s very necessary (and frustrating) to cover for their dumb pals.,cat,Alex,Wohlbruck,2
27,Cats have fur,cat,Alex,Simon,2
28,Cats are the most popular pet in the United States: There are 88 million pet cats and 74 million dogs.,cat,Kasimir,Schulz,2
29,In tigers and tabbies. the middle of the tongue is covered in backward-pointing spines. used for breaking off and gripping meat.,cat,Kasimir,Schulz,2
30,The world's richest cat is worth $13 million after his human passed away and left her fortune to him.,cat,Kasimir,Schulz,2
31,"When cats grimace. they are usually ""taste-scenting."" They have an extra organ that. with some breathing control. allows the cats to taste-sense the air.",cat,Kasimir,Schulz,2
32,A cat's purr may be a form of self-healing. as it can be a sign of nervousness as well as contentment.,cat,Kasimir,Schulz,2
33,Your cat recognizes your voice but just acts too cool to care (probably because they are).,cat,Kasimir,Schulz,2
34,Cats have a longer-term memory than dogs. especially when they learn by actually doing rather than simply seeing.,cat,Kasimir,Schulz,2
35,"Polydactyl cats are also referred to as ""Hemingway cats"" because the author was so fond of them.",cat,Kasimir,Schulz,2
36,"When asked if her husband had any hobbies. Mary Todd Lincoln is said to have replied ""cats.""",cat,Kasimir,Schulz,2
37,Cats can change their meow to manipulate a human. They often imitate a human baby when they need food. for example.,cat,Kasimir,Schulz,2
38,One legend claims that cats were created when a lion on Noah's Ark sneezed and two kittens came out.,cat,Kasimir,Schulz,2
39,In Korea and Japan. there is a Cat Cafe where you can go to drink coffee and hang out with cats for hours.,cat,Alex,Wohlbruck,2
40,When cats leave their poop uncovered. it is a sign of aggression to let you know they don't fear you.,cat,Kasimir,Schulz,2
41,Owning a cat can reduce the risk of heart attacks and strokes by more than a third. researchers found.,cat,Alex,Wohlbruck,2
42,Cucumbers look enough like a snake to cause a cat's instinctive fear of snakes to kick in. causing it to panic and flee.,cat,Alex,Wohlbruck,2
43,Lil' Bunny Sue Roux is a cat who was born with no front legs. and walks upright like a kangaroo. https://www.instagram.com/lilbunnysueroux,cat,Alex,Wohlbruck,2
44,Some Siamese cats appear cross-eyed because the nerves from the left side of the brain go to mostly the right eye and the nerves from the right side of the brain go mostly to the left eye. This causes some double vision. which the cat tries to correct by “crossing” its eyes.,cat,Alex,Wohlbruck,2
45,Owning a cat can reduce the risk of stroke and heart attack by a third.,cat,Kasimir,Schulz,2
46,"In Islam. cats are revered for their cleanliness. Muhammad is reported to have said that ""a love of cats is an aspect of faith"".",cat,Alex,Wohlbruck,2
47,A cat named Emmy lived aboard the RMS Empress of Ireland and she never missed a voyage. On May 28.1914. however. she refused to board. The ship left without her and then sank the following day.,cat,Alex,Wohlbruck,2
48,Domestic cats will try not to drink from a water bowl that is next to their food. This is because in the wild. water next to their kill could be contaminated.,cat,Alex,Wohlbruck,2
49,"A Chinese cat named Baidianr (meaning ""white spot"") had a unique ability to choose World Cup winners. He predicted the winner of the soccer competition 6 years in a row. before he died on June 2. 2018. just before the event ended.",cat,Alex,Wohlbruck,2
50,Cats have a layer called the tapetum lucidum just behind their retina which reflects light inside the eye. helping it capture more light. This reflected light is the glow you see when taking a photo of a cat with the flash on.,cat,Alex,Wohlbruck,2
51,Most cats are lactose intolerant. and milk can cause painful stomach cramps and diarrhea. It's best to forego the milk and just give your cat the standard: clean. cool drinking water.,cat,Kasimir,Schulz,2
52,When cats run. their backs contract and extend to give them maximum stride. Their shoulder blades are not attached with bone. but with muscle. and this gives a cat even greater extension and speed.,cat,Alex,Wohlbruck,2
53,In most US states. declawing cats is legal but in the European Union it is not.,cat,Alex,Wohlbruck,2
54,Kittens sleep so much because the growth hormone is only released when they sleep.,cat,Alex,Wohlbruck,2
55,It has been estimated that a cat yawns on the average of 109.500 times in his life.,cat,Alex,Wohlbruck,2
56,A cat can jump up to six times its length.,cat,Kasimir,Schulz,2
57,Cats only sweat through their foot pads.,cat,Kasimir,Schulz,2
58,A female cat is called a “molly” or a “queen”.,cat,Alex,Wohlbruck,2
59,"Black cats are less likely to be adopted because of their ""appearance"".",cat,Alex,Wohlbruck,2
60,Cats were mythic symbols of divinity in ancient Egypt.,cat,Alex,Wohlbruck,2
61,Cats have 38 chromosomes in each zygote cell.,cat,Alex,Wohlbruck,2
62,If they have ample water. cats can tolerate temperatures up to 133 °F.,cat,Alex,Wohlbruck,2
63,Your cat's instincts tell her that a paperweight or knickknack could turn out to be a mouse. Her poking paw would send it scurrying. giving her a good game. This is probably why cats always seem to be knocking the glasses off your counter tops!,cat,Alex,Wohlbruck,1
64,For a cat at rest. the average heart rate usually is between 150 and 180 bpm. more than twice that of a human. which averages 70 bpm.,cat,Alex,Wohlbruck,1
